date,open,high,low,close,volume,Name
2015-01-01,312.45,315.0,310.7,314.0,6138488,SBIN
2015-01-02,314.35,318.3,314.35,315.25,9935094,SBIN
2015-01-05,316.25,316.8,312.1,312.75,9136716,SBIN
2015-01-06,310.0,311.1,298.7,299.9,15329257,SBIN
2015-01-07,300.0,302.55,295.15,300.15,15046745,SBIN
2015-01-08,305.0,306.5,302.35,304.85,8939749,SBIN
2015-01-09,306.7,307.85,302.0,303.2,11953948,SBIN
2015-01-12,304.15,307.8,301.1,307.1,8536142,SBIN
2015-01-13,308.15,310.75,304.15,305.1,9484804,SBIN
2015-01-14,304.0,307.0,302.25,304.7,8855660,SBIN
2015-01-15,319.9,323.7,314.0,320.3,30729523,SBIN
2015-01-16,320.0,320.3,313.1,315.45,21598514,SBIN
2015-01-19,316.55,317.95,312.5,313.15,9975658,SBIN
2015-01-20,314.0,319.8,314.0,318.15,13104643,SBIN
2015-01-21,319.9,327.6,319.0,326.2,22617660,SBIN
2015-01-22,326.9,327.6,321.8,324.65,12232626,SBIN
2015-01-23,328.25,332.55,324.65,327.45,17127278,SBIN
2015-01-27,329.4,332.15,322.6,330.05,13734088,SBIN
2015-01-28,330.4,336.0,328.2,334.6,19428852,SBIN
2015-01-29,332.8,333.6,325.1,327.0,14911660,SBIN
2015-01-30,328.7,330.5,307.0,308.95,30252827,SBIN
2015-02-02,309.5,311.9,305.1,307.5,17639807,SBIN
2015-02-03,312.0,312.0,299.05,300.3,23743882,SBIN
2015-02-04,302.7,302.95,291.9,293.05,21477507,SBIN
2015-02-05,293.15,297.8,289.2,290.8,15722348,SBIN
2015-02-06,291.0,294.85,285.7,290.3,15985714,SBIN
2015-02-09,289.5,292.8,278.0,279.5,17088719,SBIN
2015-02-10,277.5,290.8,275.7,287.3,22589681,SBIN
2015-02-11,290.8,293.5,283.7,285.95,17366588,SBIN
2015-02-12,288.9,289.0,278.3,284.3,20957180,SBIN
2015-02-13,288.0,307.95,285.35,306.95,70540056,SBIN
2015-02-16,310.6,313.15,304.7,306.7,21372131,SBIN
2015-02-18,306.8,307.9,302.0,305.7,13472484,SBIN
2015-02-19,306.1,307.3,296.8,302.35,17762135,SBIN
2015-02-20,301.9,306.5,297.05,302.3,15792502,SBIN
2015-02-23,303.2,304.6,294.4,296.55,12440505,SBIN
2015-02-24,296.9,299.0,292.1,296.25,15046698,SBIN
2015-02-25,299.0,300.65,295.0,295.55,12845169,SBIN
2015-02-26,297.0,297.0,288.05,289.4,18707345,SBIN
2015-02-27,291.25,301.0,290.1,299.9,18316053,SBIN
2015-02-28,304.95,306.4,295.1,301.65,25014393,SBIN
2015-03-02,305.9,305.9,296.7,302.0,15085595,SBIN
2015-03-03,303.5,305.4,299.7,302.6,14387971,SBIN
2015-03-04,314.0,315.0,292.0,293.85,38674148,SBIN
2015-03-05,294.75,296.25,289.75,293.8,16803823,SBIN
2015-03-09,292.0,294.0,288.7,290.65,13199803,SBIN
2015-03-10,290.75,293.25,285.1,287.6,14064427,SBIN
2015-03-11,288.55,290.9,283.75,285.15,16329314,SBIN
2015-03-12,288.15,289.45,286.1,286.85,9969794,SBIN
2015-03-13,290.0,291.05,280.0,280.75,13414248,SBIN
2015-03-16,281.5,283.85,280.0,281.65,15132928,SBIN
2015-03-17,283.9,284.0,279.5,283.1,11350496,SBIN
2015-03-18,284.1,288.45,282.0,287.3,12394230,SBIN
2015-03-19,290.0,290.3,280.6,281.6,11046649,SBIN
2015-03-20,281.8,282.4,276.8,278.25,11482652,SBIN
2015-03-23,279.4,280.0,273.55,274.75,13058026,SBIN
2015-03-24,273.8,276.4,269.0,270.55,17585259,SBIN
2015-03-25,271.9,272.1,265.0,265.4,15824629,SBIN
2015-03-26,264.5,265.9,255.2,256.65,22253318,SBIN
2015-03-27,259.85,264.95,256.0,263.6,19423101,SBIN
2015-03-30,265.1,269.35,263.15,267.9,12303870,SBIN
2015-03-31,268.9,271.35,266.0,267.05,19482636,SBIN
2015-04-01,266.65,274.65,263.15,273.45,12383589,SBIN
2015-04-06,275.45,275.75,271.2,274.65,12925445,SBIN
2015-04-07,275.3,276.35,270.3,272.05,12933524,SBIN
2015-04-08,271.9,277.35,271.85,273.9,9913899,SBIN
2015-04-09,275.0,281.8,272.5,280.85,13471276,SBIN
2015-04-10,281.0,287.35,280.05,285.75,16880558,SBIN
2015-04-13,287.8,288.5,283.35,286.3,11985436,SBIN
2015-04-15,287.4,294.45,285.95,290.0,17289500,SBIN
2015-04-16,290.25,294.25,286.5,292.4,15043998,SBIN
2015-04-17,291.0,294.9,289.2,291.75,16819018,SBIN
2015-04-20,291.0,293.35,284.85,287.65,13788536,SBIN
